ENST00000362091	CCDS7072.1
ENST00000029717	CCDS145.1
ENST00000031135	CCDS5177.1
ENST00000031146	CCDS9795.1
ENST00000031512	CCDS5248.1
ENST00000032294	CCDS4781.1
ENST00000033079	CCDS4195.1
ENST00000035383	CCDS645.1
ENST00000036971	CCDS5199.1
ENST00000037243	CCDS10921.1
ENST00000037502	CCDS1297.1
ENST00000037869	CCDS1904.1
ENST00000038176	CCDS6173.1
ENST00000039007	CCDS14247.1
ENST00000039562	CCDS9283.1
ENST00000040584	CCDS8870.1
ENST00000040877	CCDS1601.1
ENST00000041740	CCDS875.1
ENST00000042381	CCDS10840.1
ENST00000043402	CCDS13777.1
ENST00000044462	CCDS10303.1
ENST00000046087	CCDS5509.1
ENST00000046640	CCDS11031.1
ENST00000046967	CCDS7586.1
ENST00000050379	CCDS14158.1
ENST00000051619	CCDS14241.1
ENST00000051659	CCDS14182.1
ENST00000052754	CCDS9039.1
ENST00000053243	CCDS10552.1
ENST00000053468	CCDS4866.1
ENST00000053469	CCDS4864.1
ENST00000053867	CCDS11483.1
ENST00000054661	CCDS101.1
ENST00000054668	CCDS90.1
ENST00000054670	CCDS92.1
ENST00000054950	CCDS7876.1
ENST00000055077	CCDS5568.1
ENST00000056233	CCDS5396.1
ENST00000057513	CCDS3718.1
ENST00000058053	CCDS12391.1
ENST00000058691	CCDS5191.1
ENST00000060969	CCDS878.1
ENST00000061240	CCDS3811.1
ENST00000062030	CCDS193.1
ENST00000062038	CCDS191.1
ENST00000062104	CCDS13296.1
ENST00000063037	CCDS404.1
ENST00000064324	CCDS4473.1
ENST00000064571	CCDS13448.1
ENST00000064724	CCDS3213.1
ENST00000064780	CCDS8222.1
ENST00000065072	CCDS5216.1
ENST00000066544	CCDS11509.1
ENST00000070846	CCDS8731.1
ENST00000071246	CCDS5054.1
ENST00000072516	CCDS3298.1
ENST00000072644	CCDS584.1
ENST00000072713	CCDS7697.1
ENST00000072869	CCDS5861.1
ENST00000074056	CCDS10438.1
ENST00000075120	CCDS8586.1
ENST00000075232	CCDS4522.1
ENST00000075430	CCDS12018.1
ENST00000075503	CCDS8629.1
ENST00000078429	CCDS12103.1
ENST00000078445	CCDS12121.1
ENST00000078527	CCDS287.1
ENST00000080059	CCDS8756.1
ENST00000080856	CCDS13259.1
ENST00000081029	CCDS8714.1
ENST00000082468	CCDS4609.1
ENST00000084795	CCDS12726.1
ENST00000084798	CCDS12729.1
ENST00000085068	CCDS12925.1
ENST00000085219	CCDS12457.1
ENST00000086933	CCDS13757.1
ENST00000155093	CCDS14774.1
ENST00000155674	CCDS13741.1
ENST00000155840	CCDS7736.1
ENST00000155926	CCDS1683.1
ENST00000156084	CCDS14313.1
ENST00000156476	CCDS12822.1
ENST00000156499	CCDS12823.1
ENST00000156626	CCDS11748.1
ENST00000156825	CCDS12072.1
ENST00000157812	CCDS12547.1
ENST00000158009	CCDS11290.1
ENST00000158149	CCDS11037.1
ENST00000158166	CCDS11039.1
ENST00000158302	CCDS5341.1
ENST00000158526	CCDS14751.1
ENST00000158762	CCDS11101.1
ENST00000158771	CCDS11073.1
ENST00000159060	CCDS5250.1
ENST00000159111	CCDS12138.1
ENST00000159647	CCDS14085.1
ENST00000160262	CCDS12235.1
ENST00000160373	CCDS5774.1
ENST00000160382	CCDS5702.1
ENST00000160698	CCDS49.1
ENST00000160713	CCDS6375.1
ENST00000160740	CCDS12601.1
ENST00000160827	CCDS10653.1
ENST00000160874	CCDS14074.1
ENST00000161006	CCDS10481.1
ENST00000161284	CCDS14580.1
ENST00000161559	CCDS12609.1
ENST00000161782	CCDS14528.1
ENST00000161863	CCDS4113.1
ENST00000162023	CCDS12394.1
ENST00000162044	CCDS12393.1
ENST00000162330	CCDS10915.1
ENST00000162391	CCDS8587.1
ENST00000162749	CCDS8542.1
ENST00000163059	CCDS11429.1
ENST00000163256	CCDS14269.1
ENST00000163282	CCDS470.1
ENST00000163344	CCDS485.1
ENST00000163416	CCDS9905.1
ENST00000163678	CCDS10533.1
ENST00000164024	CCDS2775.1
ENST00000164133	CCDS8085.1
ENST00000164139	CCDS8079.1
ENST00000164227	CCDS12642.1
ENST00000164247	CCDS55.1
ENST00000164640	CCDS14732.1
ENST00000165524	CCDS2519.1
ENST00000165698	CCDS1989.1
ENST00000166139	CCDS12040.1
ENST00000166244	CCDS225.1
ENST00000166345	CCDS3858.1
ENST00000166534	CCDS4151.1
ENST00000167106	CCDS9851.1
ENST00000167218	CCDS5316.1
ENST00000167306	CCDS14559.1
ENST00000167462	CCDS11725.1
ENST00000167586	CCDS11400.1
ENST00000167588	CCDS11379.1
ENST00000168148	CCDS2511.1
ENST00000168216	CCDS14354.1
ENST00000168712	CCDS8194.1
ENST00000168977	CCDS12115.1
ENST00000169278	CCDS3273.1
ENST00000169298	CCDS3285.1
ENST00000169551	CCDS12003.1
ENST00000169565	CCDS11666.1
ENST00000169778	CCDS14634.1
ENST00000170114	CCDS13240.1
ENST00000170150	CCDS13210.1
ENST00000170564	CCDS12428.1
ENST00000170630	CCDS10629.1
ENST00000170703	CCDS1609.1
ENST00000171111	CCDS12239.1
ENST00000171214	CCDS12223.1
ENST00000171466	CCDS1425.1
ENST00000171620	CCDS13165.1
ENST00000171757	CCDS14442.1
ENST00000171887	CCDS2407.1
ENST00000172196	CCDS11556.1
ENST00000172229	CCDS11549.1
ENST00000173229	CCDS11148.1
ENST00000173569	CCDS10588.1
ENST00000173785	CCDS7060.1
ENST00000174618	CCDS11018.1
ENST00000174653	CCDS6125.1
ENST00000175091	CCDS1696.1
ENST00000175137	CCDS14327.1
ENST00000175238	CCDS6045.1
ENST00000175506	CCDS5652.1
ENST00000175756	CCDS2161.1
ENST00000176183	CCDS7710.1
ENST00000176195	CCDS7709.1
ENST00000176643	CCDS11210.1
ENST00000177648	CCDS3697.1
ENST00000177694	CCDS11514.1
ENST00000177742	CCDS10444.1
ENST00000178510	CCDS1171.1
ENST00000178638	CCDS10185.1
ENST00000178640	CCDS10224.1
ENST00000179259	CCDS8525.1
ENST00000179882	CCDS5211.1
ENST00000180166	CCDS5998.1
ENST00000181383	CCDS9401.1
ENST00000181534	CCDS842.1
ENST00000181796	CCDS7102.1
ENST00000181839	CCDS5461.1
ENST00000182290	CCDS7733.1
ENST00000182377	CCDS8717.1
ENST00000183605	CCDS3095.1
ENST00000183657	CCDS646.1
ENST00000184183	CCDS3026.1
ENST00000184266	CCDS2999.1
ENST00000184772	CCDS1520.1
ENST00000184956	CCDS11623.1
ENST00000185150	CCDS1848.1
ENST00000185520	CCDS6763.1
ENST00000185885	CCDS7252.1
ENST00000186982	CCDS1371.1
ENST00000187397	CCDS2661.1
ENST00000187762	CCDS12349.1
ENST00000187830	CCDS12640.1
ENST00000188312	CCDS9074.1
ENST00000188376	CCDS9065.1
ENST00000189226	CCDS7495.1
ENST00000190165	CCDS6443.1
ENST00000190611	CCDS2277.1
ENST00000190668	CCDS4561.1
ENST00000190839	CCDS4753.1
ENST00000190846	CCDS4755.1
ENST00000190983	CCDS13336.1
ENST00000191018	CCDS13385.1
ENST00000193186	CCDS778.1
ENST00000193322	CCDS5062.1
ENST00000193391	CCDS2940.1
ENST00000193403	CCDS9792.1
ENST00000193422	CCDS9793.1
ENST00000194006	CCDS1561.1
ENST00000194039	CCDS1234.1
ENST00000194097	CCDS4009.1
ENST00000194118	CCDS4268.1
ENST00000194130	CCDS5786.1
ENST00000194152	CCDS4246.1
ENST00000194155	CCDS4244.1
ENST00000194530	CCDS2348.1
ENST00000194871	CCDS2223.1
ENST00000194900	CCDS14403.1
ENST00000195173	CCDS3019.1
ENST00000195455	CCDS3381.1
ENST00000195656	CCDS5023.1
ENST00000196061	CCDS142.1
ENST00000196169	CCDS9441.1
ENST00000196371	CCDS3937.1
ENST00000196482	CCDS12981.1
ENST00000196489	CCDS12954.1
ENST00000196548	CCDS12974.1
ENST00000196551	CCDS12978.1
ENST00000196802	CCDS451.1
ENST00000196805	CCDS449.1
ENST00000197492	CCDS357.1
ENST00000198536	CCDS5691.1
ENST00000198765	CCDS6243.1
ENST00000198767	CCDS10559.1
ENST00000198801	CCDS8240.1
ENST00000199168	CCDS6535.1
ENST00000199280	CCDS8792.1
ENST00000199320	CCDS3981.1
ENST00000199389	CCDS5345.1
ENST00000199447	CCDS5452.1
ENST00000199448	CCDS5454.1
ENST00000199674	CCDS7098.1
ENST00000199708	CCDS10400.1
ENST00000199712	CCDS5100.1
ENST00000199764	CCDS12585.1
ENST00000199936	CCDS10936.1
ENST00000200135	CCDS8363.1
ENST00000200181	CCDS11727.1
ENST00000200307	CCDS11278.1
ENST00000200383	CCDS3401.1
ENST00000200453	CCDS12738.1
ENST00000200457	CCDS5708.1
ENST00000200557	CCDS11486.1
ENST00000200639	CCDS14599.1
ENST00000200652	CCDS4153.1
ENST00000200676	CCDS10772.1
ENST00000200691	CCDS10762.1
ENST00000201015	CCDS8715.1
ENST00000201016	CCDS13480.1
ENST00000201031	CCDS13454.1
ENST00000201586	CCDS12723.1
ENST00000201647	CCDS12914.1
ENST00000201920	CCDS14293.1
ENST00000201962	CCDS13202.1
ENST00000201963	CCDS13204.1
ENST00000201979	CCDS13181.1
ENST00000202013	CCDS13193.1
ENST00000202017	CCDS13194.1
ENST00000202028	CCDS13271.1
ENST00000202507	CCDS13096.1
ENST00000202526	CCDS12991.1
ENST00000202625	CCDS13025.1
ENST00000202773	CCDS9162.1
ENST00000202816	CCDS13117.1
ENST00000202834	CCDS13086.1
ENST00000202967	CCDS9194.1
ENST00000203001	CCDS13093.1
ENST00000203005	CCDS13092.1
ENST00000203155	CCDS12447.1
ENST00000203407	CCDS2774.1
ENST00000203556	CCDS12408.1
ENST00000203629	CCDS8561.1
ENST00000203630	CCDS8559.1
ENST00000203664	CCDS9917.1
ENST00000204113	CCDS1375.1
ENST00000204307	CCDS5862.1
ENST00000204517	CCDS10510.1
ENST00000204549	CCDS10201.1
ENST00000204566	CCDS10198.1
ENST00000204604	CCDS3266.1
ENST00000204615	CCDS3265.1
ENST00000204637	CCDS12767.1
ENST00000204679	CCDS10436.1
ENST00000204726	CCDS9281.1
ENST00000204732	CCDS438.1
ENST00000204961	CCDS14391.1
ENST00000205143	CCDS12538.1
ENST00000205194	CCDS12926.1
ENST00000205214	CCDS3504.1
ENST00000205402	CCDS5749.1
ENST00000205557	CCDS10568.1
ENST00000205636	CCDS2653.1
ENST00000205832	CCDS1617.1
ENST00000205948	CCDS11663.1
ENST00000206249	CCDS5234.1
ENST00000206262	CCDS5244.1
ENST00000206380	CCDS11474.1
ENST00000206423	CCDS2968.1
ENST00000206451	CCDS9612.1
ENST00000206474	CCDS9580.1
ENST00000206513	CCDS9589.1
ENST00000206542	CCDS9549.1
ENST00000206544	CCDS9593.1
ENST00000206595	CCDS9638.1
ENST00000206765	CCDS9622.1
ENST00000207437	CCDS8905.1
ENST00000207451	CCDS398.1
ENST00000207549	CCDS11730.1
ENST00000207636	CCDS13770.1
ENST00000207870	CCDS2678.1
ENST00000209668	CCDS3648.1
ENST00000209718	CCDS11380.1
ENST00000209728	CCDS11365.1
ENST00000209779	CCDS14429.1
ENST00000209827	CCDS4200.1
ENST00000209873	CCDS8856.1
ENST00000209875	CCDS8875.1
ENST00000209884	CCDS1310.1
ENST00000209929	CCDS1293.1
ENST00000210060	CCDS12276.1
ENST00000210187	CCDS10460.1
ENST00000210313	CCDS6824.1
ENST00000210444	CCDS6733.1
ENST00000210633	CCDS7501.1
ENST00000211076	CCDS10432.1
ENST00000211122	CCDS4947.1
ENST00000211184	CCDS4852.1
ENST00000211196	CCDS4843.1
ENST00000211287	CCDS4818.1
ENST00000211302	CCDS4906.1
ENST00000211309	CCDS4944.1
ENST00000211310	CCDS4859.1
ENST00000211314	CCDS4943.1
ENST00000211370	CCDS4716.1
ENST00000211372	CCDS4771.1
ENST00000211377	CCDS4711.1
ENST00000211413	CCDS4739.1
ENST00000211475	CCDS4719.1
ENST00000211936	CCDS4624.1
ENST00000211979	CCDS4501.1
ENST00000211998	CCDS7341.1
ENST00000212015	CCDS7273.1
ENST00000212292	CCDS6457.1
ENST00000214869	CCDS12249.1
ENST00000215057	CCDS12988.1
ENST00000215061	CCDS12351.1
ENST00000215071	CCDS12515.1
ENST00000215095	CCDS10699.1
ENST00000215115	CCDS10693.1
ENST00000215129	CCDS14219.1
ENST00000215368	CCDS12061.1
ENST00000215375	CCDS12058.1
ENST00000215376	CCDS12057.1
ENST00000215479	CCDS14778.1
ENST00000215530	CCDS12037.1
ENST00000215539	CCDS10446.1
ENST00000215555	CCDS12202.1
ENST00000215565	CCDS12314.1
ENST00000215567	CCDS12313.1
ENST00000215570	CCDS12089.1
ENST00000215574	CCDS12030.1
ENST00000215582	CCDS12042.1
ENST00000215587	CCDS12056.1
ENST00000215591	CCDS12036.1
ENST00000215637	CCDS12028.1
ENST00000215659	CCDS14089.1
ENST00000215727	CCDS13783.1
ENST00000215730	CCDS13784.1
ENST00000215732	CCDS13785.1
ENST00000215742	CCDS13787.1
ENST00000215743	CCDS13816.1
ENST00000215754	CCDS13819.1
ENST00000215780	CCDS13821.1
ENST00000215781	CCDS13873.1
ENST00000215790	CCDS13874.1
ENST00000215793	CCDS13875.1
ENST00000215794	CCDS13752.1
ENST00000215812	CCDS13877.1
ENST00000215829	CCDS13828.1
ENST00000215832	CCDS13795.1
ENST00000215838	CCDS13881.1
ENST00000215840	CCDS13797.1
ENST00000215855	CCDS13830.1
ENST00000215861	CCDS13831.1
ENST00000215882	CCDS13758.1
ENST00000215885	CCDS13889.1
ENST00000215886	CCDS13950.1
ENST00000215904	CCDS13953.1
ENST00000215906	CCDS13834.1
ENST00000215909	CCDS13954.1
ENST00000215912	CCDS13893.1
ENST00000215919	CCDS13896.1
ENST00000215938	CCDS13802.1
ENST00000215939	CCDS13840.1
ENST00000215941	CCDS13959.1
ENST00000215956	CCDS14022.1
ENST00000215957	CCDS13961.1
ENST00000215960	CCDS13963.1
ENST00000215964	CCDS13964.1
ENST00000215969	CCDS13965.1
ENST00000215980	CCDS14025.1
ENST00000216014	CCDS13972.1
ENST00000216024	CCDS13973.1
ENST00000216027	CCDS13845.1
ENST00000216029	CCDS13974.1
ENST00000216034	CCDS13975.1
ENST00000216036	CCDS13803.1
ENST00000216037	CCDS13847.1
ENST00000216038	CCDS13905.1
ENST00000216039	CCDS13976.1
ENST00000216064	CCDS13978.1
ENST00000216068	CCDS13979.1
ENST00000216071	CCDS13848.1
ENST00000216075	CCDS14092.1
ENST00000216080	CCDS14093.1
ENST00000216083	CCDS13980.1
ENST00000216085	CCDS13850.1
ENST00000216101	CCDS13854.1
ENST00000216113	CCDS14098.1
ENST00000216115	CCDS14044.1
ENST00000216117	CCDS13914.1
ENST00000216121	CCDS13860.1
ENST00000216122	CCDS13915.1
ENST00000216124	CCDS14100.1
ENST00000216127	CCDS13916.1
ENST00000216129	CCDS14047.1
ENST00000216133	CCDS13986.1
ENST00000216139	CCDS14101.1
ENST00000216144	CCDS13867.1
ENST00000216146	CCDS13988.1
ENST00000216151	CCDS13868.1
ENST00000216155	CCDS13991.1
ENST00000216160	CCDS13993.1
ENST00000216177	CCDS14053.1
ENST00000216180	CCDS14054.1
ENST00000216181	CCDS13927.1
ENST00000216185	CCDS13928.1
ENST00000216187	CCDS13929.1
ENST00000216190	CCDS13930.1
ENST00000216194	CCDS14001.1
ENST00000216200	CCDS13933.1
ENST00000216211	CCDS14064.1
ENST00000216214	CCDS14065.1
ENST00000216218	CCDS14006.1
ENST00000216223	CCDS13942.1
ENST00000216225	CCDS14009.1
ENST00000216237	CCDS14011.1
ENST00000216252	CCDS14016.1
ENST00000216254	CCDS14017.1
ENST00000216259	CCDS14020.1
ENST00000216264	CCDS14077.1
ENST00000216267	CCDS14080.1
ENST00000216271	CCDS14088.1
ENST00000216274	CCDS9628.1
ENST00000216277	CCDS9946.1
ENST00000216281	CCDS9967.1
ENST00000216286	CCDS9706.1
ENST00000216294	CCDS9755.1
ENST00000216297	CCDS9569.1
ENST00000216327	CCDS9572.1
ENST00000216330	CCDS9683.1
ENST00000216336	CCDS9631.1
ENST00000216338	CCDS9632.1
ENST00000216341	CCDS9633.1
ENST00000216361	CCDS9640.1
ENST00000216366	CCDS9642.1
ENST00000216371	CCDS9696.1
ENST00000216373	CCDS9697.1
ENST00000216378	CCDS9699.1
ENST00000216407	CCDS9710.1
ENST00000216410	CCDS9712.1
ENST00000216416	CCDS9717.1
ENST00000216420	CCDS9719.1
ENST00000216442	CCDS9780.1
ENST00000216445	CCDS9730.1
ENST00000216446	CCDS9782.1
ENST00000216450	CCDS9853.1
ENST00000216452	CCDS9784.1
ENST00000216455	CCDS9731.1
ENST00000216456	CCDS9786.1
ENST00000216463	CCDS9735.1
ENST00000216465	CCDS9858.1
ENST00000216479	CCDS9863.1
ENST00000216484	CCDS9865.1
ENST00000216492	CCDS9906.1
ENST00000216500	CCDS9743.1
ENST00000216502	CCDS9744.1
ENST00000216513	CCDS9749.1
ENST00000216520	CCDS9794.1
ENST00000216540	CCDS9797.1
ENST00000216554	CCDS9980.1
ENST00000216568	CCDS9800.1
ENST00000216605	CCDS9763.1
ENST00000216612	CCDS9941.1
ENST00000216629	CCDS9943.1
ENST00000216639	CCDS9947.1
ENST00000216697	CCDS9586.1
ENST00000216714	CCDS9550.1
ENST00000216727	CCDS9592.1
ENST00000216733	CCDS9595.1
ENST00000216774	CCDS9652.1
ENST00000216775	CCDS9607.1
ENST00000216780	CCDS9609.1
ENST00000216797	CCDS9656.1
ENST00000216799	CCDS9613.1
ENST00000216802	CCDS9614.1
ENST00000216822	CCDS9619.1
ENST00000216832	CCDS9671.1
ENST00000216863	CCDS13491.1
ENST00000216877	CCDS13039.1
ENST00000216879	CCDS13015.1
ENST00000216891	CCDS13340.1
ENST00000216910	CCDS13456.1
ENST00000216923	CCDS13440.1
ENST00000216927	CCDS13020.1
ENST00000216947	CCDS13386.1
ENST00000216951	CCDS13245.1
ENST00000216953	CCDS13390.1
ENST00000216955	CCDS13168.1
ENST00000216962	CCDS13171.1
ENST00000216968	CCDS13248.1
ENST00000217026	CCDS13322.1
ENST00000217043	CCDS13329.1
ENST00000217067	CCDS13338.1
ENST00000217069	CCDS13339.1
ENST00000217086	CCDS13438.1
ENST00000217103	CCDS13445.1
ENST00000217109	CCDS13452.1
ENST00000217117	CCDS13458.1
ENST00000217121	CCDS13542.1
ENST00000217129	CCDS13473.1
ENST00000217130	CCDS13548.1
ENST00000217131	CCDS13474.1
ENST00000217133	CCDS13475.1
ENST00000217153	CCDS13489.1
ENST00000217159	CCDS13501.1
ENST00000217161	CCDS13503.1
ENST00000217169	CCDS13513.1
ENST00000217170	CCDS13514.1
ENST00000217172	CCDS13045.1
ENST00000217173	CCDS13046.1
ENST00000217182	CCDS13522.1
ENST00000217185	CCDS13524.1
ENST00000217188	CCDS13525.1
ENST00000217225	CCDS13118.1
ENST00000217233	CCDS12997.1
ENST00000217243	CCDS13083.1
ENST00000217244	CCDS13003.1
ENST00000217254	CCDS13007.1
ENST00000217268	CCDS13088.1
ENST00000217270	CCDS13089.1
ENST00000217284	CCDS13191.1
ENST00000217289	CCDS13098.1
ENST00000217301	CCDS13100.1
ENST00000217305	CCDS13023.1
ENST00000217315	CCDS13196.1
ENST00000217326	CCDS13198.1
ENST00000217343	CCDS13293.1
ENST00000217347	CCDS13208.1
ENST00000217366	CCDS13034.1
ENST00000217381	CCDS13220.1
ENST00000217386	CCDS13044.1
ENST00000217394	CCDS13301.1
ENST00000217398	CCDS13225.1
ENST00000217402	CCDS13228.1
ENST00000217407	CCDS13304.1
ENST00000217417	CCDS13157.1
ENST00000217420	CCDS13307.1
ENST00000217421	CCDS13158.1
ENST00000217422	CCDS13232.1
ENST00000217423	CCDS13159.1
ENST00000217425	CCDS13355.1
ENST00000217426	CCDS13233.1
ENST00000217430	CCDS13359.1
ENST00000217439	CCDS13369.1
ENST00000217446	CCDS13239.1
ENST00000217452	CCDS13375.1
ENST00000217455	CCDS13378.1
ENST00000217456	CCDS13166.1
ENST00000217515	CCDS11961.1
ENST00000217652	CCDS11830.1
ENST00000217740	CCDS11902.1
ENST00000217800	CCDS11954.1
ENST00000217884	CCDS14474.1
ENST00000217885	CCDS14475.1
ENST00000217893	CCDS4002.1
ENST00000217901	CCDS14730.1
ENST00000217908	CCDS14655.1
ENST00000217909	CCDS14577.1
ENST00000217939	CCDS14124.1
ENST00000217957	CCDS14535.1
ENST00000217958	CCDS14536.1
ENST00000217959	CCDS14540.1
ENST00000217961	CCDS14127.1
ENST00000217964	CCDS14133.1
ENST00000217965	CCDS14134.1
ENST00000217971	CCDS14576.1
ENST00000217998	CCDS14592.1
ENST00000217999	CCDS14593.1
ENST00000218004	CCDS14546.1
ENST00000218006	CCDS14545.1
ENST00000218014	CCDS14601.1
ENST00000218027	CCDS14150.1
ENST00000218032	CCDS14152.1
ENST00000218044	CCDS14645.1
ENST00000218054	CCDS14553.1
ENST00000218056	CCDS14302.1
ENST00000218072	CCDS14245.1
ENST00000218075	CCDS14160.1
ENST00000218089	CCDS14607.1
ENST00000218099	CCDS14666.1
ENST00000218104	CCDS14728.1
ENST00000218116	CCDS14322.1
ENST00000218126	CCDS14319.1
ENST00000218140	CCDS14567.1
ENST00000218149	CCDS14737.1
ENST00000218151	CCDS14738.1
ENST00000218157	CCDS14612.1
ENST00000218162	CCDS14379.1
ENST00000218169	CCDS14317.1
ENST00000218176	CCDS14314.1
ENST00000218195	CCDS14742.1
ENST00000218197	CCDS14623.1
ENST00000218217	CCDS14312.1
ENST00000218224	CCDS14309.1
ENST00000218225	CCDS14187.1
ENST00000218230	CCDS14307.1
ENST00000218240	CCDS14745.1
ENST00000218265	CCDS14438.1
ENST00000218266	CCDS14305.1
ENST00000218299	CCDS14754.1
ENST00000218340	CCDS14270.1
ENST00000218343	CCDS14271.1
ENST00000218348	CCDS14277.1
ENST00000218362	CCDS14656.1
ENST00000218364	CCDS14657.1
ENST00000218366	CCDS14658.1
ENST00000218368	CCDS14659.1
ENST00000218388	CCDS14281.1
ENST00000218394	CCDS14457.1
ENST00000218413	CCDS14463.1
ENST00000218425	CCDS14359.1
ENST00000218432	CCDS14417.1
ENST00000218439	CCDS14362.1
ENST00000218440	CCDS14301.1
ENST00000218506	CCDS14430.1
ENST00000218507	CCDS14479.1
ENST00000218514	CCDS14483.1
ENST00000218516	CCDS14484.1
ENST00000218537	CCDS9402.1
ENST00000218554	CCDS9355.1
ENST00000218564	CCDS9470.1
ENST00000218567	CCDS9393.1
ENST00000218706	CCDS9509.1
ENST00000218721	CCDS9414.1
ENST00000218736	CCDS9448.1
ENST00000218758	CCDS12265.1
ENST00000218763	CCDS9479.1
ENST00000218789	CCDS9521.1
ENST00000218862	CCDS9298.1
ENST00000218867	CCDS9299.1
ENST00000218883	CCDS9307.1
ENST00000218981	CCDS9430.1
ENST00000218987	CCDS9338.1
ENST00000218990	CCDS9456.1
ENST00000219022	CCDS9440.1
ENST00000219043	CCDS10781.1
ENST00000219066	CCDS10457.1
ENST00000219069	CCDS10499.1
ENST00000219070	CCDS10752.1
ENST00000219091	CCDS10494.1
ENST00000219097	CCDS10722.1
ENST00000219139	CCDS10828.1
ENST00000219142	CCDS10830.1
ENST00000219150	CCDS10673.1
ENST00000219168	CCDS10593.1
ENST00000219169	CCDS10848.1
ENST00000219197	CCDS10736.1
ENST00000219204	CCDS10776.1
ENST00000219207	CCDS10777.1
ENST00000219235	CCDS10778.1
ENST00000219244	CCDS10780.1
ENST00000219251	CCDS10842.1
